id,series_id,season,episode,title,release_date,description
1,1,1,1,The Man Trap,1966-09-08,Dr. McCoy discovers his old flame is not what she seems after crew members begin dying from a sudden lack of salt in their bodies.
2,1,1,2,Charlie X,1966-09-15,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psionic ability to create anything and destroy anyone.
3,1,1,3,Where No Man Has Gone Before,1966-09-22,The flight recorder of the 200-year-old U.S.S. Valiant relays a tale of terror--a magnetic storm at the edge of the galaxy.
4,1,1,4,The Naked Time,1966-09-29,The crew is infected with a mysterious disease that removes people's emotional inhibitions to a dangerous degree.
5,1,1,5,The Enemy Within,1966-10-06,"A transporter malfunction splits Captain Kirk into two halves: one meek and indecisive, the other violent and ill tempered. The remaining crew members stranded on the planet cannot be beamed up to the ship until a problem is fixed."
6,1,1,6,Mudd's Women,1966-10-13,The Enterprise picks up untrustworthy entrepreneur Harry Mudd accompanied by three beautiful women who immediately put a spell on all the male crew members.
7,1,1,7,What Are Little Girls Made Of?,1966-10-20,Nurse Chapel is reunited with her fiancé; but his new obsession leads him to make an android duplicate of Captain Kirk.
8,1,1,8,Miri,1966-10-27,"The Enterprise discovers a planet exactly like Earth, but the only inhabitants are children who contract a fatal disease upon entering puberty."
9,1,1,9,Dagger of the Mind,1966-11-03,Kirk and psychiatrist Helen Noel are trapped on a maximum security penal colony that experiments with mind control and Spock must use the Vulcan mind-meld to find a way to save them.
10,1,1,10,The Corbomite Maneuver,1966-11-10,"After the Enterprise is forced to destroy a dangerous marker buoy, a gigantic alien ship arrives to capture and condemn the crew as trespassers."
11,1,1,11,"The Menagerie, Part I",1966-11-17,"Spock kidnaps the disabled Capt. Pike, hijacks the Enterprise, and then surrenders for court martial."
12,1,1,12,"The Menagerie, Part II",1966-11-24,"At Spock's court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens."
13,1,1,13,The Conscience of the King,1966-12-08,"While Captain Kirk investigates whether an actor is actually a presumed dead mass murderer, a mysterious assailant is killing the people who could identify the fugitive."
